ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area inundated,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),"Losses (mln EUR, 2011)",Cause,Notes,References,Explanation
1056,PL,2001,Poland,09/07/2001,10/07/2001,Flash,Radunia; Kłodawa,PL635,,,4,650,"251,600,000",PLN,80,"Extreme rainfall, up to 90 mm in 4 hours",Urban flood in Gdańsk,Brakenridge (2022); Nowicka (2005); Bednarczyk et al. (2006); KZGW (2011),Merged with 1057
1095,PT,1966,Portugal,02/12/1966,02/12/1966,Flash,,PT112;PT113;PT114;PT115;PT117;PT118;PT16B;PT171,,,1,108,,,,Extreme rainfall,Also landslides,Zezere et al. (2014),Merged with 1094
1079,PT,1943,Portugal,23/09/1943,23/09/1943,Flash,,PT16B;PT171,,,0,110,,,,Extreme rainfall,,Zezere et al. (2014),200 or less persons affected (only PT171 was actually affected)
1088,PT,1956,Portugal,24/03/1956,24/03/1956,Flash,,PT114;PT115;PT117;PT118,,,0,102,,,,Extreme rainfall,,Zezere et al. (2014),200 or less persons affected (only PT114 and PT118 were actually affected)
1102,PT,1983,Portugal,21/11/1983,21/11/1983,Flash,,PT172;PT181,,,0,141,,,,Extreme rainfall,,Zezere et al. (2014),Merged with 1101
1109,PT,2000,Portugal,05/03/2000,05/03/2000,Flash,,PT16B;PT171,,,0,139,,,,Extreme rainfall,,Zezere et al. (2014),200 or less persons affected (only PT171 was actually affected)
1113,PT,2001,Portugal,06/02/2001,08/02/2001,River,,PT114;PT115;PT117;PT118;PT162;PT163;PT164;PT16B;PT171;PT172;PT181,,,0,114,,,,Heavy rainfall,Also landslides,Zezere et al. (2014),"200 or less persons affected (only PT114, PT117, PT162 and PT16B were actually affected)"
1116,PT,2003,Portugal,02/01/2003,03/01/2003,Flash,,PT115;PT116;PT117;PT161;PT162;PT164;PT165,,,0,118,,,,Extreme rainfall,Also landslides,EM-DAT; Zezere et al. (2014),Merged with 1115
1140,RO,2002,Romania,30/07/2002,03/08/2002,Flash,,RO223;RO225;RO317,,,4,"3,900",,,,Extreme rainfall,,EM-DAT; Brakenridge (2022),Merged with 1139
1152,RO,2006,Romania,13/03/2006,07/04/2006,River,Siret,RO215;RO411;RO413,,32,6,"17,071",,,,Heavy rainfall and snowmelt,"Includes 10,000 evacuated due to risk of dam break",EM-DAT; Brakenridge (2017); EEA (2015),Merged with 1153
1154,RO,2006,Romania,19/06/2006,19/06/2006,River,,RO125;RO226,,,1,600,,,,Heavy rainfall,,EM-DAT,Merged with 1155
1327,ES,1987,Spain,03/09/1987,03/09/1987,Flash,,ES513,,,6,,,,,Extreme rainfall,,Munich Re (2017); EEA (2015),Duplicate with 1326
